,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,market_cap
DRI,0.0,0.024949341837812167,-0.03892146778323158,0.17170351273109263,0.14762165852295017,0.16213088465899417,-0.00993946540617141,-0.09824450053292288,0.12187270858665666,0.1116543240992911,-0.028856907449167468,0.22517966677670964,0.20419004369993865,0.11622852771402736,0.08523550327026874,-0.23391966190124658,0.18161566384134575,0.15652118736482779,0.059355453059941166,-0.03724993044464486,0.26990945152470514,0.1694727789795596,-0.00737053982174074,0.07313331018103053,-0.13753034970018452,-0.04579957675124524,0.07776469511251971,0.02058865316281322,0.09397414672187065,0.2063244596591649,0.08035416621670555,0.11262738027242802,0.031078440352397152,-0.0817134201201396,-0.22158215389288372,-0.11012854957181006,-0.09696209660395616,-0.18648621653176822,-0.09034623968106081,-0.07686994217932153,-0.18239454052275772,0.051081731510070005,0.061169026460304865,-0.153627776947599,0.16259968521523094,0.11334981375329223,0.02432466146446921,-0.012860257620246007,-0.11723248085888527,-0.13218233066003393,-0.1627148365133113,-0.20649428618747923,-0.07835064442899142,-0.14410738127812484,0.2170878114953101,0.28686353379770413,Small-Cap
TGT,0.0,-0.11168828272594855,-0.1982563798763305,-0.020738527188880918,0.13179863167384998,0.09373674287321121,-0.2723339352766161,-0.08751939311940593,-0.010932571687321646,0.0831476733331511,-0.01584703741121518,0.029037589608252645,0.04092616133361415,0.006090192737707278,-0.031980061416074124,-0.23391966190124658,-0.01801364613911871,-0.007107924693419698,-0.18253495144825937,-0.25381666869564035,-0.20313915154355122,-0.3069154240173496,-0.38272972803870886,-0.058459156020130854,-0.05285486443381249,-0.06362957401328484,-0.04671390294217159,-0.20213531999253176,-0.30161191035316104,0.3828090525121346,0.06094125609523049,0.04203031413484193,0.09556029967698676,-0.00732306745833089,0.000879310726704885,-0.055435409701113714,-0.03197083067996853,0.518249325600679,0.1856836491926801,-0.1458130206850894,-0.059759085473640394,-0.09445205720108252,0.01978725819569216,0.05706701208135989,0.07114228456913829,0.02331090256193602,-0.008347485589718873,0.07863829683222501,-0.03411852682744443,-0.13651285218109965,-0.1450949824398533,-0.08584573060539546,-0.02413926242981157,-0.012140533324620506,-0.15520459270459275,-0.05005361257500052,Micro-Cap
UUU,0.0,-0.10109143373423657,0.059553342806368814,0.010082157667701708,-0.07654993404535959,0.1901002467770505,0.0414810272326791,-0.06505502081868808,-0.07851604437552184,0.025402891733703914,-0.11428943767511557,-0.1318570833026803,-0.12233772103271034,-0.10853354902125267,-0.026068940599984103,0.07774579066589737,-0.05257045240879621,0.2849944990304887,0.21758489416780913,-0.05251915262676088,0.0011737704410921257,0.0170364159928742,-0.062201007053948376,-0.040775874493807485,-0.022459306528404555,0.10440041479668127,-0.01178315948355979,0.0016471387332315235,0.18434492084957443,0.11978788855753475,-0.04491103266884011,0.07076341609483539,0.16004215900157637,0.19880168105406626,-0.03834087981327272,-0.08342850610561625,-0.04055816921197708,0.13430871052523718,0.2562682339913538,0.11983774373613199,-0.09766643563614563,-0.009400872358604984,0.1743364120697306,0.17995375490097487,0.26554201811933753,0.2927990699229981,0.03531090885572841,0.22047059988556827,-0.2518036444775009,-0.24295521015039867,0.21564002595150455,0.4184953388499004,0.0848988964127555,-0.12282398237003522,-0.3811601523657031,-0.021213953784454787,Micro-Cap
ACWN,0.0,0.09717713204459555,-0.01580246054086476,0.023048198116240703,-0.05448611655461422,0.003323775554279429,-0.09208061317630545,-0.19100231107875232,0.1565367294427702,0.05495383439154655,0.09895098489660326,0.14243088062272102,0.1029429168580096,0.16261778812780547,-0.1431901419481887,0.0358337978538259,-0.05967135333798801,-0.08095714784748642,-0.11299965476022922,0.0006539092493895726,-0.064268793669501,0.059316007916396574,0.010429299414996152,0.05774513247559643,-0.0753429314477061,0.022723309384969026,0.04360414224652032,0.0008822268711334846,0.05891977739245147,-0.07193465375094121,-0.143206357448172,-0.16103218949013376,-0.029079910823344157,-0.07616877312985215,-0.11103706657711354,-0.24733550312720276,-0.1174453371877171,0.17685971644642828,-0.02048914984818717,0.16796298512225305,-0.04617210302360941,-0.07143330323558372,0.0007399491766917343,0.08771817624643585,0.3384714886277891,0.12503983051024653,-0.0531195144017792,-0.21824179282286427,-0.1377475883608762,-0.08078072656516444,-0.19379028792436603,-0.177065605165869,0.057766622521151945,0.07640956808504984,-0.01645815269003681,-0.09444950546590314,Micro-Cap
A4Y,0.0,0.11063741385383796,-0.034415658348254996,0.026491047883972385,0.00016244202754545078,0.07525771584429153,0.07894119106120012,-0.14965984443870428,0.08781015738021125,-0.016044409142822014,-0.09818275930682219,-0.0916020653719406,0.1276487036331715,0.034829937950509926,-0.027873424673157454,0.020298030684187784,0.0808032054758927,0.17459614306693916,-0.11322651529924177,-0.1336129428193904,0.07591755013977153,0.33175460518360267,-0.004993196848400605,0.04047449440387019,0.32444654759791036,0.2070572357164855,0.32472594945978517,0.11289926810606565,0.07402564795660393,0.09559463392636647,-0.22107830607381385,-0.002888573239554826,-0.010875040744362408,0.2483755001063026,0.11453652826998728,-0.11758863103338879,-0.08188142252857833,-0.09850733696599312,-0.009720159065536027,-0.061003731499727376,0.10084793167430672,0.17975776992170434,-0.039095467660893446,-0.051037179886909145,-0.04158486525075833,-0.04271940890250503,-0.07973189095940614,-0.10348252118644075,-0.14517813624231168,-0.2222489430200537,-0.19389877066225603,-0.34613587686880565,-0.09951190682413369,-0.2541023436623929,0.07948509145577565,-0.14919854953086986,Micro-Cap
ADS,0.0,0.1111478712374725,0.0010441839908568173,0.1508366502163736,-0.03728220850942465,0.0803994890364621,-0.00952121554559171,0.0019240434216265534,0.14420378467325445,0.039367933405314526,0.03938774158220126,0.07714347145924139,0.08448941934824261,0.13696869416782742,0.013454481868785395,0.035954177478946914,-0.018735845946229013,-0.08131970616416495,-0.17932996016342195,-0.06924882013480027,0.09911500635027237,0.12625739519557166,-0.05375930377948401,0.22285891997913732,0.11489472887196461,0.2004387241825103,0.2846124621570192,0.00025075318966227833,0.0891315185207564,0.10722648010251046,0.07044796952992116,-0.02703718794283172,-0.014359374193399166,0.09778993422384352,0.0124117980198577,-0.0036673538164531116,0.02601675692683414,0.21313923388073097,0.10240614547739901,0.015714969957048908,-0.052473334375285674,-0.15811976751324264,0.15492804700847373,0.09161592358051784,0.014417125660098895,0.005876679428520992,0.06630360570359373,-0.11805515771802044,-0.14742274646861808,-0.19465490265306074,-0.15012067439771493,-0.2425248026820147,0.2218911915916677,0.1333108780431791,0.06881149491401484,-0.04450144737972539,Mid-Cap
ADV,0.0,0.4399822306012884,0.08161970872371827,0.2460413920587543,0.14881058697127658,-0.22968904039240878,-0.2554054654712351,0.03985320254116642,0.14154906136329903,0.09013850166381876,0.03153235338447247,-0.12033714733091283,-0.019213919368261112,-0.109628648678475,0.07275792092539546,-0.013728455825622765,-0.09199111296530571,-0.1276657389143121,-0.08410679114248287,-0.036240836063805126,0.19609387224331254,0.01585292169299196,0.6082585784514871,0.11007089313307161,-0.11870303531990323,-0.03498385717015229,-0.11809300166077208,-0.020611365831658235,0.16403897818717028,0.10013846705791885,-0.33979935765543745,-0.12809289694570258,0.10634147587327569,-0.06004678867305269,0.11880336768744804,0.05980723765885032,0.09399566944890125,-0.014819250182658283,-0.1499735310381336,0.1187466712501608,-0.04898780664559843,-0.16719899487369883,0.19124343287912038,-0.010526271133411647,0.34374042021364404,0.1753494472698618,0.21110885837115845,-0.019986055214290643,0.14470751399276827,0.09128160325667944,0.15975965446782348,0.1308766151691212,0.08441718889987704,-0.11174158571896597,0.004859381726945333,0.002291144495871089,Micro-Cap
AIXA,0.0,0.02250027141461297,-0.10017121015050567,0.1239909207062102,0.2592214636792849,-0.10374336914621274,-0.3918256735633884,-0.4053082969103585,0.21983810472619547,0.02984869549848046,-0.08108719655630414,-0.15233331905353487,0.052125549998998544,0.16942832766224059,0.05550129487283284,-0.16742376382775037,0.12456788231181748,-0.0645965339593152,-0.07276276116017844,-0.043348727397539144,-0.23728845770205698,-0.09455155180958774,-0.1674650371644416,0.03325281725811524,-0.414131829957451,0.4288012554190752,0.12838261103965176,-0.1885830034698317,-0.23059351096584546,0.51248132745028,-0.15597986006118303,0.5098335650607682,0.13417945604459813,-0.03396051063429306,-0.1938683070967121,-0.1600075176782546,-0.07301468068510197,0.07597352105723565,0.002480600302420477,-0.06160206182539263,0.075095097305248,0.00845633119223188,0.11497751030046799,0.1088209503241524,0.4466921994173292,0.10896859227251632,0.2240791801776263,-0.14048826571201267,-0.06063474387527845,0.306939641088688,0.010366642453601305,0.15756961242141765,-0.010224763437185369,0.032753497361246886,0.17080109163484436,-0.0914628310477309,Mid-Cap
A1OS,0.0,0.07015093029430375,0.11055312675341367,0.28435130645428663,0.39986881514789907,-0.0208442632925242,-0.06107166986100887,0.055186575073205235,0.14939893315145958,-0.018914751868508328,0.038230706805586934,0.33905671151348726,0.20336035239743966,-0.04441545429388316,0.09881268071307647,0.11929948699805415,0.07179687875103813,0.2663782510468886,0.07515800470180256,-0.10850521937301538,0.30088296145970683,0.1747546321720177,0.18126906046566216,0.2881686527841245,-0.06565936769534808,-0.06395383309067115,-0.05354700235636045,-0.08232317010849988,0.13962806326779886,0.07504915351195862,0.027839637533071393,-0.042280761981907555,0.10978387305594062,-0.0210054836489576,-0.09657503008456658,-0.14683376215845956,0.007959434297037937,-0.06138319239475609,-0.14891539268426857,0.10162091005881213,0.006972345132743474,-0.17843619102650432,0.27268707787299196,0.06441636999091505,0.1858217627989478,0.0057512766286687,0.12258285602388996,-0.014126618987396977,-0.019113219596752162,-0.11470750851302391,-0.19745644717628286,-0.10741728816248808,0.04468945054139217,-0.07374418508729208,-0.04287063949115111,-0.03946752943010834,Micro-Cap
ALV,0.0,0.001361003969128305,-0.0010697470319034341,0.04199970871347558,0.1272740737083755,-0.020470926598827655,-0.21194508572705228,-0.02411761801934209,0.15155045798440892,-0.09215922268001864,0.0918542536682605,0.13131815663844848,0.0902857768822467,0.06798590821151507,0.017787254338098135,0.07756874095513733,0.01902587519025878,-0.030627659770453786,0.053974674944486045,0.00978531366696922,0.1405994274337954,0.016697785857070935,-0.03964571083157287,0.08212364640321579,-0.09051958553258899,-0.013401341649795118,-0.07755660108555684,0.13258190007168413,0.10910064638943928,0.05673405941948917,0.05339809652284733,0.0842260860357762,-0.01990698509898048,-0.03638891300664415,-0.005843324334862121,-0.006642630792748405,0.027992552205168053,0.09407624449485996,0.005653744241016501,0.044011327550220525,-0.08132745839337319,-0.16247850392598606,0.08126045117273306,0.006794989686903508,0.11480726932757479,0.06787321958103698,-0.07340091150908823,0.003250364322300303,0.07197425152394787,-0.07113069400322813,-0.13392268829785348,0.0967898867686543,0.13343506272243322,-0.012169515490104144,0.030776257152602682,0.0092135185249973,Large-Cap
